gene_symbol,uniprotkb_ac,test_disease_use,test_trade_name,test_manufacturer,test_submission,test_is_a_panel,biomarker_id,biomarker_origin,ncit_biomarker,do_name,doid,histological_type,approved_indication,actual_use,specimen_type,platform_method,test_number_genes,test_adoption_evidence,test_trial_id,test_approval_status,pmid,test_study_design,clinical_significance,biomarker_drug,biomarker_description
BRCA2,P51587,Breast Cancer,23andMe PGS Genetic Health Risk Report for BRCA1/BRCA2 (Selected Variants),23andMe,DEN170046,Y,,somatic mutation,Breast Cancer 2_ Early Onset Gene_ BRCA2_ DNA Repair Associated Gene_ BRCA2 Gene_ BRCA2,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),early detection_ risk assesment,predisposition,Saliva,D,2,experimental,NCT01598597,class II,24520936_ 9145676,NA,185delAG and 5382insC variants in the BRCA1 gene and 6174delT variant in the BRCA2 gene are associated with increased risk of breast cancer_ clinical test use risk assesment/early detection for patients of Ashkenazi Jewish decent,Olaparib,From FDA The report describes if a woman is at increased risk of developing breast and ovarian cancer_ and if a man is at increased risk of developing breast cancer or may be at increased risk of developing prostate cancer. From EDRN BRCA1 is a nuclear phosphoprotein that functions as a tumor suppressor...[and] thus plays a role in transcription_ DNA repair of double-stranded breaks_ and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers.
CCNE1,P24864,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,CCNE1_ CCNE1 Gene_ Cyclin E1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
CCNE2,O96020,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062715,Y,-,multigene prediction,CCNE2_ CCNE2 Gene_ Cyclin E2 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
CDC20,Q12834,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,CDC20_ CDC20 Gene_ Cell Division Cycle 20 Homolog (S. cerevisiae) Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
CDC42BPA,Q5VT25,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062736,Y,-,multigene prediction,CDC42 Binding Protein Kinase Alpha Gene_ CDC42BPA_ CDC42BPA Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
CDC6,Q99741,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,CDC6_ CDC6 Gene_ Cell Division Cycle 6 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
CDCA7,Q9BWT1,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062728,Y,-,multigene prediction,CDCA7_ CDCA7 Gene_ Cell Division Cycle Associated 7 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
CDH3,P22223,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,1027,multigene prediction,Cadherin 3 Gene_ CDH3_ CDH3 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
CENPA,P49450,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062717,Y,-,multigene prediction,,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
CENPF,P49454,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,CENPF_ CENPF Gene_ Centromere Protein F_ 350/400ka (Mitosin) Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
CEP55,Q53EZ4,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Centrosomal Protein 55kDa Gene_ CEP55_ CEP55 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
COL4A2,P08572,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062730,Y,612,multigene prediction,COL4A2_ COL4A2 Gene_ Collagen Type IV Alpha 2 Chain Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
CXXC5,Q7LFL8,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,CXXC Finger Protein 5 Gene_ CXXC5_ CXXC5 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
DCK,P27707,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062707,Y,-,multigene prediction,DCK_ DCK Gene_ Deoxycytidine Kinase Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
DIAPH3,Q9NSV4,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062735,Y,-,multigene prediction,DIAPH3_ DIAPH3 Gene_ Diaphanous-Related Formin 3 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
DTL,Q9NZJ0,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062729,Y,-,multigene prediction,Denticleless E3 Ubiquitin Protein Ligase Homolog (Drosophila) Gene_ DTL_ DTL Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
EBF4,Q9BQW3,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062711,Y,-,multigene prediction,Early B-Cell Factor 4 Gene_ EBF4_ EBF4 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
ECT2,Q9H8V3,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062716,Y,-,multigene prediction,ECT2_ ECT2 Gene_ Epithelial Cell Transforming Sequence 2 Oncogene Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
EGFR,P00533,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,78,multigene prediction,EGFR_ EGFR Gene_ Epidermal Growth Factor Receptor Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
EGLN1,Q9GZT9,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062695,Y,-,multigene prediction,Egl Nine Homolog 1 (C. elegans) Gene_ EGLN1_ EGLN1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
EGLN1,Q9GZT9,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062749,Y,-,multigene prediction,Egl Nine Homolog 1 (C. elegans) Gene_ EGLN1_ EGLN1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
ERBB2,P04626,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,227,multigene prediction,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 Gene_ HER2_ HER2/Neu_ NEU,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
Erbb2,P04626,Breast Cancer,HER2 CISH pharmDxTM Kit,Dako Denmark A/S,P100024,N,227,somatic mutation,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis_ companion diagnosis,prognostic_ predictive,Paraffin block,F,1,clinical use,,PMA,23570400,,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment_ clinical test use adjunct to other modalities in prognosis for stage II node + patients,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
Erbb2,P04626,Breast Cancer,HER2 IQFISH PHARMDX,Dako Denmark A/S,P040005,N,227,amplification,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis_ companion diagnosis,prognostic_ predictive,Paraffin block,F,1,clinical use,,PMA,21685042,RetObs,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
Erbb2,P04626,Breast Cancer,INSITE HER-2/NEU KIT,BIOGENEX LABORATORIES_ INC.,P040030,N,227,amplification,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),companion diagnosis,predictive,Paraffin block,I,1,clinical use,,PMA withdrawn,NA,RetObs,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
Erbb2,P04626,Breast Cancer,SPOT-LIGHT HER2 CISH KIT,INVITROGEN CORPORATION,P050040,N,227,amplification,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis_ companion diagnosis,prognostic_ predictive,Paraffin block,F,1,clinical use,,PMA withdrawn,19289584_ 17908324,RetObs,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment_ clinical test use prognosis for patients with invasive breast cancer_,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
Erbb2,P04626,Breast Cancer,INFORM HER-2/NEU,Ventana Medical Systems_ Inc.,P940004,N,227,amplification,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 gene_ HER2_ HER2/Neu_ Neu,breast Cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,predictive,Paraffin block,F,1,clinical use,,PMA withdrawn,21317877_ 10889820_ 9179063,,amplified HER2 indicates a candidate for trastuzumab or pertuzumab treatment,3062316_ 644241_ 5484725_ 208908_ 50067185 (SID)_ 178103510 (SID),gene transcribing for RTK that is found to be overexpressed or mutated in breast cancer
