gene_symbol,uniprotkb_ac,test_disease_use,test_trade_name,test_manufacturer,test_submission,test_is_a_panel,biomarker_id,biomarker_origin,ncit_biomarker,do_name,doid,histological_type,approved_indication,actual_use,specimen_type,platform_method,test_number_genes,test_adoption_evidence,test_trial_id,test_approval_status,pmid,test_study_design,clinical_significance,biomarker_drug,biomarker_description
EGFR,P00533,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,78,multigene prediction,EGFR_ EGFR Gene_ Epidermal Growth Factor Receptor Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,IRESSA (gefitinib),The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
ERBB2,P04626,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,227,multigene prediction,Erb-b2 Receptor Tyrosine Kinase 2 Gene_ ERBB2_ ERBB2 Gene_ HER2_ HER2/Neu_ NEU,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
ERBB3,P21860,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,646,multigene prediction,Erb-B2 Receptor Tyrosine Kinase 3 Gene_ ERBB3_ ERBB3 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
FGFR2,P21802,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,FGFR2_ FGFR2 Gene_ Fibroblast Growth Factor Receptor 2 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
FGFR3,P22607,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,FGFR3_ FGFR3 Gene_ Fibroblast Growth Factor Receptor 3 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
HRAS,P01112,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,H-ras gene_ HRAS_ HRAS Gene_ Hras gene_ HRas Proto-Oncogene_ GTPase Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
KIT,P10721,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,488,multigene prediction,KIT_ KIT Gene_ V-Kit Hardy-Zuckerman 4 Feline Sarcoma Viral Oncogene Homolog Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
KRAS,P01116,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,87,multigene prediction,K-ras gene_ KRAS_ KRAS Gene_ Kras gene_ KRas Proto-Oncogene_ GTPase Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
MAP2K1,Q02750,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,928,multigene prediction,MAP2K1_ MAP2K1 Gene_ Mitogen-Activated Protein Kinase Kinase 1 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
MAP2K2,P36507,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,MAP2K2_ MAP2K2 Gene_ Mitogen-Activated Protein Kinase Kinase 2 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
MET,P08581,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,1056,multigene prediction,MET_ MET Gene_ MET Proto-Oncogene_ Receptor Tyrosine Kinase Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
MTOR,P42345,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,Mechanistic Target of Rapamycin Gene_ MTOR_ MTOR Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
NRAS,P01111,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,Neuroblastoma RAS Viral Oncogene Homolog Gene_ NRAS_ NRAS Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
PDGFRA,P16234,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,PDGFRA_ PDGFRA Gene_ Platelet-Derived Growth Factor Receptor_ Alpha Polypeptide Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
PIK3CA,P42336,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,Phosphatidylinositol-4_5-Bisphosphate 3-Kinase Catalytic Subunit Alpha Gene_ PIK3CA_ PIK3CA Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
ROS1,P08922,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,ROS Proto-Oncogene 1_ Receptor Tyrosine Kinase Gene_ ROS1_ ROS1 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,XALKORI (crizotinib),The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
RET,P07949,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,797,multigene prediction,RET_ RET Gene_ RET Proto-Oncogene (Multiple Endocrine Neoplasia and Medullary Thyroid Carcinoma 1_ Hirschsprung Disease) Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
SMO,Q99835,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,SMO_ SMO Gene_ Smoothened_ Frizzled Class Receptor Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
